Id,Attorney_Company__c,Attorney_Email__c,Attorney_Name__c,Plaintiff_A_Number__c,Plaintiff_Birthdate__c,Plantiff_Country_Of_Origin__c,Plaintiff_First_Name__c,Plaintiff_Gender__c,Plaintiff_Last_Name__c,Plaintiff_Port_of_Entry__c,Case_Number__c,Name
a001g000004WZaGAAW,Realfire LLC,fsimonichr0@nbcnews.com,Fred Simonich,435121867,1985-05-05,United States,Fred,Female,Simonich,"Buffalo, New York - 0901",7235925161,SI-0973
a001g000004WZaHAAW,Topicstorm LLC,nbrydellr1@mit.edu,Nevil Brydell,830563593,1981-09-27,Portugal,Nevil,Male,Brydell,"Amarillo, Texas - 5502",3052285538,SI-0974
a001g000004WZaIAAW,Bluejam LLC,nabarrowr2@arstechnica.com,Nahum A'Barrow,604268785,1996-10-18,Ecuador,Nahum,Male,A'Barrow,"Rio Grande City, Texas - 2307",7843569187,SI-0975
a001g000004WZaJAAW,Mydo LLC,dmandresr3@deviantart.com,Deirdre Mandres,880129563,1997-05-14,France,Deirdre,Female,Mandres,"Buffalo, New York - 0901",5470375349,SI-0976
a001g000004WZaKAAW,Zoomdog LLC,croscamr4@php.net,Cullen Roscam,998115382,1981-10-01,France,Cullen,Male,Roscam,"Tucson, Arizona - 2609",7624208456,SI-0977
a001g000004WZaLAAW,Tagtune LLC,bkimmerlingr5@storify.com,Brockie Kimmerling,290406288,1970-11-22,Portugal,Brockie,Male,Kimmerling,"Nogales, Arizona - 2604",7784089546,SI-0978
a001g000004WZaMAAW,Kwideo LLC,kdummiganr6@hugedomains.com,Kristopher Dummigan,880654512,1979-12-31,Indonesia,Kristopher,Male,Dummigan,"Nogales, Arizona - 2604",8618142193,SI-0979
a001g000004WZaNAAW,Aibox LLC,isatchelr7@netscape.com,Ingeborg Satchel,451504313,1999-12-23,Russia,Ingeborg,Female,Satchel,"Amarillo, Texas - 5502",9564675468,SI-0980
a001g000004WZaOAAW,Skyba LLC,kmear8@delicious.com,Katrina Mea,554167242,1953-03-30,Kenya,Katrina,Female,Mea,"Buffalo, New York - 0901",6607711534,SI-0981
a001g000004WZaPAAW,Tanoodle LLC,jsalazarr9@google.pl,Jayne Salazar,888967656,1975-08-29,Russia,Jayne,Female,Salazar,"Albuquerque, New Mexico - 2407",8176025750,SI-0982
a001g000004WZaQAAW,Vitz LLC,cdietschera@dion.ne.jp,Corly Dietsche,740140977,1979-07-19,United States,Corly,Female,Dietsche,"Nogales, Arizona - 2604",5686085264,SI-0983
a001g000004WZaRAAW,Dabjam LLC,ksimonettrb@nytimes.com,Kaleb Simonett,748146831,1979-09-10,Czech Republic,Kaleb,Male,Simonett,"Nogales, Arizona - 2604",1898257524,SI-0984
a001g000004WZaSAAW,Ntag LLC,tsainterrc@lycos.com,Tammie Sainter,550631891,1976-04-03,China,Tammie,Male,Sainter,"Amarillo, Texas - 5502",1542486704,SI-0985
a001g000004WZaTAAW,Skynoodle LLC,rstammerrd@com.com,Renell Stammer,597640079,1988-08-11,China,Renell,Female,Stammer,"Tucson, Arizona - 2609",6908800229,SI-0986
a001g000004WZaUAAW,Mynte LLC,alilloere@hostgator.com,Aaron Lilloe,186921163,1986-04-20,United States,Aaron,Male,Lilloe,"Rio Grande City, Texas - 2307",7426324673,SI-0987
a001g000004WZaVAAW,Zoozzy LLC,ocolthurstrf@unblog.fr,Oralla Colthurst,261818824,1970-04-07,China,Oralla,Female,Colthurst,"Nogales, Arizona - 2604",8259130016,SI-0988
a001g000004WZaWAAW,Dynazzy LLC,jbalcersrg@sina.com.cn,Joshuah Balcers,435591701,1955-11-06,Croatia,Joshuah,Male,Balcers,"Tucson, Arizona - 2609",8797873100,SI-0989
a001g000004WZaXAAW,Teklist LLC,kmorleyrh@xing.com,Koressa Morley,486802942,1967-04-13,Philippines,Koressa,Female,Morley,"Albuquerque, New Mexico - 2407",3038704388,SI-0990
a001g000004WZaYAAW,Jayo LLC,acubbonri@marriott.com,Arron Cubbon,728265925,1955-07-31,Slovenia,Arron,Male,Cubbon,"Nogales, Arizona - 2604",4310815821,SI-0991
a001g000004WZaZAAW,Fivebridge LLC,sguinanerj@mtv.com,Sherill Guinane,972744089,1985-12-14,Brazil,Sherill,Female,Guinane,"Amarillo, Texas - 5502",2799486638,SI-0992
a001g000004WZQFAA4,Skinix LLC,mbrient9r@is.gd,Maura Brient,887160932,1962-11-25,Russia,Maura,Female,Brient,"Buffalo, New York - 0901",8461927626,SI-0352
a001g000004WZQGAA4,Latz LLC,csopper9s@people.com.cn,Cris Sopper,647861596,1972-07-29,France,Cris,Male,Sopper,"Rio Grande City, Texas - 2307",6432886197,SI-0353
a001g000004WZQHAA4,Quaxo LLC,gdumbelton9t@cocolog-nifty.com,Gil Dumbelton,610031523,1989-04-10,Democratic Republic of the Congo,Gil,Male,Dumbelton,"Amarillo, Texas - 5502",8653851647,SI-0354
a001g000004WZQIAA4,Zava LLC,ajosefsson9u@adobe.com,Anallise Josefsson,872339731,1954-11-09,Moldova,Anallise,Female,Josefsson,"Rio Grande City, Texas - 2307",6514190687,SI-0355
a001g000004WZQJAA4,Ainyx LLC,ewarnock9v@clickbank.net,Emyle Warnock,662080062,1963-12-21,China,Emyle,Female,Warnock,"Amarillo, Texas - 5502",5699375704,SI-0356
a001g000004WZQKAA4,Twitternation LLC,rackroyd9w@go.com,Rolland Ackroyd,414601941,1966-06-28,China,Rolland,Male,Ackroyd,"Albuquerque, New Mexico - 2407",4125330113,SI-0357
a001g000004WZQLAA4,Cogidoo LLC,deagleton9x@si.edu,Donall Eagleton,869782007,1959-05-19,Brazil,Donall,Male,Eagleton,"Nogales, Arizona - 2604",7230083075,SI-0358
a001g000004WZQMAA4,Feedmix LLC,edennick9y@newsvine.com,Emmery Dennick,994383869,1951-06-21,Slovakia,Emmery,Male,Dennick,"Amarillo, Texas - 5502",5832929380,SI-0359
a001g000004WZQNAA4,Skyba LLC,lpanas9z@lulu.com,Lydia Panas,331444147,1974-08-28,Honduras,Lydia,Female,Panas,"Albuquerque, New Mexico - 2407",1033840852,SI-0360
a001g000004WZQOAA4,Kare LLC,jbecksa0@stumbleupon.com,Jude Becks,539223168,1974-04-18,Mexico,Jude,Male,Becks,"Tucson, Arizona - 2609",8983983021,SI-0361
a001g000004WZQPAA4,Kwinu LLC,glunbecha1@php.net,Gilberto Lunbech,412915373,1967-04-13,Indonesia,Gilberto,Male,Lunbech,"Calexico East - Class A, California - 2507",9406066793,SI-0362
a001g000004WZQQAA4,Blogtag LLC,ljeremiaha2@google.pl,Lesly Jeremiah,161570968,1976-07-19,Indonesia,Lesly,Female,Jeremiah,"Calexico East - Class A, California - 2507",7781814673,SI-0363
a001g000004WZQRAA4,Tazzy LLC,aboristona3@blogspot.com,Auberta Boriston,552195369,1984-04-02,United States,Auberta,Female,Boriston,"Tucson, Arizona - 2609",2086175975,SI-0364
a001g000004WZQSAA4,Thoughtworks LLC,asmithsona4@uiuc.edu,Andre Smithson,234102936,1955-12-19,China,Andre,Male,Smithson,"Rio Grande City, Texas - 2307",6778582972,SI-0365
a001g000004WZQTAA4,Zoonoodle LLC,sgalla5@free.fr,Sande Gall,344356821,1989-03-17,China,Sande,Female,Gall,"Tucson, Arizona - 2609",7998632115,SI-0366
a001g000004WZQUAA4,Skipfire LLC,ashuxsmitha6@sciencedaily.com,Austin Shuxsmith,780160390,1999-07-21,Philippines,Austin,Male,Shuxsmith,"Tucson, Arizona - 2609",8580414227,SI-0367
a001g000004WZQVAA4,Meedoo LLC,escawena7@i2i.jp,Erinn Scawen,257612486,1997-06-11,Indonesia,Erinn,Female,Scawen,"Buffalo, New York - 0901",4060179348,SI-0368
a001g000004WZQWAA4,Pixope LLC,ltompkina8@taobao.com,Lief Tompkin,497735661,1957-01-20,Macedonia,Lief,Male,Tompkin,"Tucson, Arizona - 2609",6702098467,SI-0369
a001g000004WZQXAA4,Quimm LLC,gburnipa9@paypal.com,Giacopo Burnip,680548735,1983-08-10,Taiwan,Giacopo,Male,Burnip,"Amarillo, Texas - 5502",5307448477,SI-0370
a001g000004WZQYAA4,Jabbercube LLC,aramstedaa@blinklist.com,Alexis Ramsted,382390275,1982-11-26,Canada,Alexis,Female,Ramsted,"Rio Grande City, Texas - 2307",8552885777,SI-0371
a001g000004WZQZAA4,Dablist LLC,bouryab@nytimes.com,Benyamin Oury,120974339,1972-06-06,Ethiopia,Benyamin,Male,Oury,"Albuquerque, New Mexico - 2407",2621130423,SI-0372
a001g000004WZQaAAO,Zoombox LLC,mcrabbeac@soup.io,Myrtice Crabbe,742514617,1996-10-08,Ireland,Myrtice,Female,Crabbe,"Nogales, Arizona - 2604",9141208608,SI-0373
a001g000004WZQbAAO,Aimbu LLC,crickhussad@elpais.com,Chlo Rickhuss,695245492,1995-03-23,Moldova,Chlo,Female,Rickhuss,"Rio Grande City, Texas - 2307",9124569427,SI-0374
a001g000004WZQcAAO,Wikibox LLC,dgobelae@netscape.com,Derrik Gobel,973423429,1957-03-17,Brazil,Derrik,Male,Gobel,"Tucson, Arizona - 2609",7141154188,SI-0375
a001g000004WZQdAAO,Wordtune LLC,jlamzedaf@wp.com,Jan Lamzed,436786263,1976-11-08,Germany,Jan,Male,Lamzed,"Calexico East - Class A, California - 2507",8506976408,SI-0376
a001g000004WZU8AAO,Linktype LLC,gkinforthgg@1und1.de,Guenna Kinforth,638458114,1989-05-08,Venezuela,Guenna,Female,Kinforth,"Amarillo, Texas - 5502",5903047042,SI-0593
a001g000004WZU9AAO,Wikibox LLC,tposergh@wired.com,Trina Poser,767142875,1958-10-27,Indonesia,Trina,Female,Poser,"Amarillo, Texas - 5502",1723980930,SI-0594
a001g000004WZUAAA4,Skidoo LLC,wwylliegi@cpanel.net,Wilfred Wyllie,611079681,1965-01-09,Russia,Wilfred,Male,Wyllie,"Buffalo, New York - 0901",8686824156,SI-0595
a001g000004WZUBAA4,Skyndu LLC,lmacgormangj@meetup.com,Langsdon MacGorman,870605593,1961-03-28,China,Langsdon,Male,MacGorman,"Calexico East - Class A, California - 2507",5463558486,SI-0596
a001g000004WZUCAA4,Riffpedia LLC,bquarmbygk@bbb.org,Bone Quarmby,872633621,1957-07-07,Norway,Bone,Male,Quarmby,"Tucson, Arizona - 2609",3889638369,SI-0597
a001g000004WZUDAA4,Tagchat LLC,fmougelgl@pbs.org,Falito Mougel,943368161,1976-05-20,France,Falito,Male,Mougel,"Tucson, Arizona - 2609",7849432503,SI-0598
a001g000004WZUEAA4,Ooba LLC,oauberygm@bigcartel.com,Oran Aubery,361546010,1967-07-31,Poland,Oran,Male,Aubery,"Nogales, Arizona - 2604",2056846777,SI-0599
a001g000004WZUFAA4,Dazzlesphere LLC,noberngn@google.co.jp,Noak Obern,589576745,1959-07-27,Thailand,Noak,Male,Obern,"Nogales, Arizona - 2604",6697551887,SI-0600
a001g000004WZUGAA4,Mydeo LLC,gspoursgo@prweb.com,Germain Spours,516325199,1956-05-14,Poland,Germain,Male,Spours,"Rio Grande City, Texas - 2307",1974964741,SI-0601
a001g000004WZUHAA4,Roodel LLC,gstanlackgp@telegraph.co.uk,Gwenore Stanlack,489176975,1954-08-21,Sweden,Gwenore,Female,Stanlack,"Rio Grande City, Texas - 2307",7418161058,SI-0602
a001g000004WZUIAA4,Twimbo LLC,ninnettgq@reference.com,Nicolle Innett,718752571,1966-06-04,Brazil,Nicolle,Female,Innett,"Calexico East - Class A, California - 2507",4488837783,SI-0603
a001g000004WZUJAA4,Jamia LLC,lboardergr@cnbc.com,Lorene Boarder,853550088,1970-12-30,China,Lorene,Female,Boarder,"Calexico East - Class A, California - 2507",1771999158,SI-0604
a001g000004WZUKAA4,Shufflebeat LLC,groseburghgs@tripod.com,Grady Roseburgh,727373852,1987-06-24,Indonesia,Grady,Male,Roseburgh,"Amarillo, Texas - 5502",9777662945,SI-0605
a001g000004WZULAA4,Photobug LLC,jpiscopiellogt@intel.com,Jacques Piscopiello,634614335,1992-05-09,Philippines,Jacques,Male,Piscopiello,"Albuquerque, New Mexico - 2407",2366864489,SI-0606
a001g000004WZUMAA4,Lazzy LLC,ahalburtongu@mysql.com,Anallese Halburton,587224561,1982-08-10,Czech Republic,Anallese,Female,Halburton,"Buffalo, New York - 0901",5318383688,SI-0607
a001g000004WZUNAA4,Geba LLC,bheinzlergv@arizona.edu,Bobby Heinzler,129856200,1993-08-05,China,Bobby,Female,Heinzler,"Amarillo, Texas - 5502",7089504652,SI-0608
a001g000004WZUOAA4,Quinu LLC,mbladegw@chronoengine.com,Mayne Blade,440710782,1986-01-31,Philippines,Mayne,Male,Blade,"Tucson, Arizona - 2609",7621200005,SI-0609
a001g000004WZUPAA4,Feedmix LLC,vjacquemegx@xinhuanet.com,Vida Jacqueme,895214772,1971-08-06,Niger,Vida,Female,Jacqueme,"Amarillo, Texas - 5502",6863282122,SI-0610
a001g000004WZUQAA4,Thoughtmix LLC,lparcellsgy@addtoany.com,Leanora Parcells,717184037,1961-05-06,Benin,Leanora,Female,Parcells,"Albuquerque, New Mexico - 2407",7002905151,SI-0611
a001g000004WZURAA4,Voolith LLC,fbamlettgz@51.la,Franny Bamlett,447692676,1989-10-19,Costa Rica,Franny,Female,Bamlett,"Nogales, Arizona - 2604",7716174482,SI-0612
a001g000004WZUSAA4,Buzzbean LLC,gdinesh0@tamu.edu,Gisele Dines,956275587,1970-02-16,United States,Gisele,Female,Dines,"Amarillo, Texas - 5502",5966756265,SI-0613
a001g000004WZUTAA4,Zooxo LLC,jglackinh1@blogger.com,Jehu Glackin,591623527,1968-08-13,Chile,Jehu,Male,Glackin,"Buffalo, New York - 0901",2080471144,SI-0614
a001g000004WZUUAA4,Feedfire LLC,dsmeadh2@altervista.org,Drucie Smead,926629967,1975-01-05,Peru,Drucie,Female,Smead,"Rio Grande City, Texas - 2307",1547947238,SI-0615
a001g000004WZUVAA4,Eire LLC,apoppingh3@chronoengine.com,Anabel Popping,318664779,1954-05-22,Indonesia,Anabel,Female,Popping,"Nogales, Arizona - 2604",2358156171,SI-0616
a001g000004WZUWAA4,Mita LLC,iwillmetth4@simplemachines.org,Ingmar Willmett,125114176,1993-01-13,Portugal,Ingmar,Male,Willmett,"Nogales, Arizona - 2604",5859361545,SI-0617
a001g000004WZaaAAG,Oyonder LLC,cleopoldrk@exblog.jp,Cassandry Leopold,924352639,1993-03-26,Czech Republic,Cassandry,Female,Leopold,"Calexico East - Class A, California - 2507",9072521705,SI-0993
a001g000004WZabAAG,Linktype LLC,lwardallrl@virginia.edu,Lynnet Wardall,102875169,1998-10-22,Ireland,Lynnet,Female,Wardall,"Buffalo, New York - 0901",7682560275,SI-0994
a001g000004WZacAAG,Dazzlesphere LLC,smerringrm@nsw.gov.au,Shawnee Merring,580927834,1982-04-06,China,Shawnee,Female,Merring,"Buffalo, New York - 0901",7651117617,SI-0995
a001g000004WZadAAG,Jayo LLC,vsnibsonrn@instagram.com,Vicki Snibson,626238011,1990-11-28,Russia,Vicki,Female,Snibson,"Tucson, Arizona - 2609",6066647361,SI-0996
a001g000004WZaeAAG,Ooba LLC,tschinettiro@cmu.edu,Timoteo Schinetti,459621254,1987-03-22,China,Timoteo,Male,Schinetti,"Nogales, Arizona - 2604",8273366723,SI-0997
a001g000004WZafAAG,Meemm LLC,aarntzenrp@upenn.edu,Agathe Arntzen,305364467,1970-12-28,Russia,Agathe,Female,Arntzen,"Nogales, Arizona - 2604",2113264566,SI-0998
a001g000004WZagAAG,Trilia LLC,scabrerrq@xinhuanet.com,Sydney Cabrer,516369656,1992-03-05,Senegal,Sydney,Male,Cabrer,"Buffalo, New York - 0901",2916249119,SI-0999
a001g000004WZahAAG,Quinu LLC,jmacandreisrr@netlog.com,Justin MacAndreis,617973365,1958-02-04,Colombia,Justin,Male,MacAndreis,"Rio Grande City, Texas - 2307",5230755801,SI-1000
a001g000004WZKaAAO,Thoughtstorm LLC,jpeplay0@people.com.cn,Jarred Peplay,284579686,1955-02-08,Pakistan,Jarred,Male,Peplay,"Nogales, Arizona - 2604",7261323181,SI-0001
a001g000004WZKbAAO,Vidoo LLC,rdosdale1@drupal.org,Rea Dosdale,110045952,1999-12-20,Japan,Rea,Female,Dosdale,"Amarillo, Texas - 5502",3342628623,SI-0002
a001g000004WZKcAAO,Latz LLC,mbeagrie2@prweb.com,Maurits Beagrie,573154946,1955-04-06,Russia,Maurits,Male,Beagrie,"Albuquerque, New Mexico - 2407",7057210721,SI-0003
